"m1_x","m1_y","m1_z","m2_x","m2_y","m2_z","m3_x","m3_y","m3_z","m4_x","m4_y","m4_z","m5_x","m5_y","m5_z","m6_x","m6_y","m6_z"
-77.3809432983398,221.506317138672,-2479.83642578125,-84.038330078125,183.085601806641,-2475.17236328125,-39.7646598815918,105.740859985352,-2556.07763671875,-81.1149597167969,57.1438751220703,-2496.55053710938,-58.9922676086426,43.96533203125,-2475.3583984375,-42.7019462585449,-34.3869590759277,-2489.84130859375
-76.4382705688477,221.389541625977,-2479.87915039062,-84.0162963867188,183.674362182617,-2475.05786132812,-40.6128959655762,105.491104125977,-2556.2626953125,-81.1209411621094,57.6419448852539,-2496.46655273438,-59.3308410644531,44.0337181091309,-2475.73095703125,-42.8685913085938,-34.0929260253906,-2489.966796875
-75.395378112793,221.165725708008,-2479.97729492188,-83.9942626953125,184.263122558594,-2474.943359375,-41.4171371459961,105.166450500488,-2556.49487304688,-81.1269226074219,58.1400146484375,-2496.38256835938,-59.6513023376465,44.02685546875,-2476.20971679688,-43.0485191345215,-33.8698463439941,-2490.10668945312
-74.2447052001953,220.839019775391,-2480.10083007812,-83.9722213745117,184.851898193359,-2474.82861328125,-42.1051177978516,104.770629882812,-2556.73071289062,-81.1329040527344,58.6380882263184,-2496.29858398438,-59.9709320068359,43.9303092956543,-2476.97119140625,-43.2551498413086,-33.7074661254883,-2490.28857421875
-72.9375610351562,220.358459472656,-2480.23217773438,-83.9501800537109,185.440673828125,-2474.7138671875,-42.6081695556641,104.285179138184,-2557.02880859375,-81.1388854980469,59.1361618041992,-2496.21459960938,NA,NA,NA,-43.4749717712402,-33.5994758605957,-2490.50805664062
-71.432746887207,219.726715087891,-2480.42236328125,-83.9281463623047,186.029434204102,-2474.59936523438,-42.9068374633789,103.660339355469,-2557.31469726562,-81.1448669433594,59.6342315673828,-2496.13061523438,NA,NA,NA,-43.6966743469238,-33.5433006286621,-2490.75756835938
-69.5707626342773,218.967834472656,-2480.63598632812,-83.9061126708984,186.618194580078,-2474.48486328125,-42.9306983947754,102.830772399902,-2557.6005859375,-81.1508483886719,60.1323013305664,-2496.04663085938,NA,NA,NA,-43.9056510925293,-33.5349655151367,-2491.01245117188
-67.2835540771484,218.087341308594,-2480.89404296875,-83.8840713500977,187.206970214844,-2474.3701171875,-42.6216125488281,101.699272155762,-2557.89379882812,-81.1568298339844,60.6303749084473,-2495.96264648438,NA,NA,NA,-44.1052284240723,-33.5639114379883,-2491.28076171875
-64.6328430175781,216.994873046875,-2481.32788085938,-82.7890396118164,186.472610473633,-2475.8349609375,-41.9168663024902,100.174140930176,-2558.1494140625,-81.1628112792969,61.1284484863281,-2495.87841796875,NA,NA,NA,-44.2908668518066,-33.6252098083496,-2491.55151367188
-61.7590484619141,215.637573242188,-2482.01538085938,-81.3506546020508,185.57096862793,-2477.63671875,-40.7667999267578,98.1876220703125,-2558.36938476562,-81.1687927246094,61.6265182495117,-2495.79443359375,NA,NA,NA,-44.454460144043,-33.7043533325195,-2491.82275390625
